Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
04-05-2024,10,nr,20,21,nr,23,nr,nr,nr,25,nr,nr,nr,22,25,nr,24,nr,nr,21,nr,nr,nr,24,nr,nr,23,22,nr,24,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,17,nr,
04-05-2024,11,nr,22,22,nr,26,nr,nr,nr,29,nr,nr,nr,26,28,nr,26,nr,nr,22,nr,nr,nr,27,nr,nr,26,24,nr,27,26,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,25,21,nr,
04-05-2024,12,nr,24,23,nr,27,nr,nr,nr,32,nr,nr,nr,29,30,nr,28,nr,nr,23,nr,nr,nr,28,nr,nr,27,26,nr,28,28,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,24,nr,
04-05-2024,13,nr,26,22,nr,29,nr,nr,nr,34,nr,nr,nr,30,32,nr,30,nr,nr,25,nr,nr,nr,30,nr,nr,29,28,nr,31,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,27,26,nr,
04-05-2024,14,nr,26,20,nr,29,nr,nr,nr,34,nr,nr,nr,31,33,nr,31,nr,nr,25,nr,nr,nr,31,nr,nr,30,29,nr,32,31,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,29,27,nr,
04-05-2024,15,nr,23,17,nr,30,nr,nr,nr,35,nr,nr,nr,32,32,nr,32,nr,nr,24,nr,nr,nr,32,nr,nr,31,27,nr,33,31,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,29,29,nr,
04-05-2024,16,nr,18,16,nr,28,nr,nr,nr,34,nr,nr,nr,32,32,nr,32,nr,nr,23,nr,nr,nr,32,nr,nr,31,nr,nr,29,31,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,28,29,nr,
04-05-2024,17,nr,17,16,nr,25,nr,nr,nr,28,nr,nr,nr,31,27,nr,28,nr,nr,22,nr,nr,nr,28,nr,nr,26,nr,nr,26,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,25,28,nr,
04-05-2024,18,nr,17,16,nr,25,nr,nr,nr,27,nr,nr,nr,27,24,nr,26,nr,nr,18,nr,nr,nr,27,nr,nr,24,23,nr,23,27,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,24,nr,
04-05-2024,19,nr,17,15,nr,24,nr,nr,nr,26,nr,nr,nr,26,23,nr,26,nr,nr,16,nr,nr,nr,26,nr,nr,24,22,nr,23,26,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,23,23,nr,
